Capacity in different NetworksNodes:75, Flows:5, Capacity:6.708333333333334
Nodes:75, Flows:5, Capacity:6.625
Nodes:75, Flows:5, Capacity:6.666666666666666
Nodes:75, Flows:5, Capacity:6.583333333333334
Nodes:75, Flows:5, Capacity:7.041666666666666
Nodes:75, Flows:5, Capacity:6.208333333333333
Nodes:75, Flows:5, Capacity:6.458333333333334
Nodes:75, Flows:5, Capacity:6.708333333333334
Nodes:75, Flows:5, Capacity:6.625
Nodes:75, Flows:5, Capacity:6.666666666666666
Nodes:75, Flows:5, Capacity:6.583333333333334
Nodes:75, Flows:5, Capacity:7.041666666666666
Nodes:75, Flows:5, Capacity:6.208333333333333
Nodes:75, Flows:5, Capacity:6.458333333333334
Nodes:75, Flows:5, Capacity:6.666666666666666
Nodes:75, Flows:5, Capacity:6.291666666666666
Nodes:75, Flows:5, Capacity:6.083333333333334
Nodes:75, Flows:5, Capacity:6.875
Nodes:75, Flows:5, Capacity:6.333333333333334
Nodes:75, Flows:5, Capacity:6.458333333333333
Nodes:75, Flows:5, Capacity:6.625
Nodes:75, Flows:5, Capacity:6.541666666666667
Nodes:75, Flows:5, Capacity:5.916666666666666
Nodes:75, Flows:5, Capacity:6.583333333333333
Nodes:75, Flows:5, Capacity:6.583333333333333
Nodes:75, Flows:5, Capacity:6.583333333333334
Nodes:75, Flows:5, Capacity:6.375
Nodes:75, Flows:5, Capacity:6.708333333333334
Nodes:75, Flows:5, Capacity:6.833333333333332
Nodes:75, Flows:5, Capacity:6.625
Nodes:75, Flows:5, Capacity:6.25
Nodes:75, Flows:5, Capacity:6.875
Nodes:75, Flows:5, Capacity:6.708333333333334
Nodes:75, Flows:5, Capacity:6.541666666666667
Nodes:75, Flows:5, Capacity:6.625
Nodes:75, Flows:5, Capacity:6.375
Nodes:75, Flows:5, Capacity:4.666666666666666
Nodes:75, Flows:5, Capacity:6.708333333333334
Nodes:75, Flows:5, Capacity:6.791666666666666
Nodes:75, Flows:5, Capacity:6.375
Nodes:75, Flows:5, Capacity:6.625
Nodes:75, Flows:5, Capacity:6.375
Nodes:75, Flows:5, Capacity:6.291666666666666
Nodes:75, Flows:5, Capacity:6.541666666666666
Nodes:75, Flows:5, Capacity:6.375
Nodes:75, Flows:5, Capacity:6.625
Nodes:75, Flows:5, Capacity:6.541666666666666
Nodes:75, Flows:5, Capacity:6.333333333333334
Nodes:75, Flows:5, Capacity:6.791666666666667
Nodes:75, Flows:5, Capacity:6.583333333333333
Nodes:75, Flows:5, Capacity:6.75
Nodes:75, Flows:5, Capacity:6.791666666666667
Nodes:75, Flows:5, Capacity:6.625
Nodes:75, Flows:5, Capacity:5.833333333333334
Nodes:75, Flows:5, Capacity:6.708333333333334
Nodes:75, Flows:5, Capacity:6.5
Nodes:75, Flows:5, Capacity:6.541666666666666
Nodes:75, Flows:5, Capacity:6.5
Nodes:75, Flows:5, Capacity:6.708333333333334
Nodes:75, Flows:5, Capacity:6.375
Nodes:75, Flows:5, Capacity:6.791666666666666
Nodes:75, Flows:5, Capacity:6.5
Nodes:75, Flows:5, Capacity:6.375
Nodes:75, Flows:5, Capacity:6.5
Nodes:75, Flows:5, Capacity:6.208333333333334
Nodes:75, Flows:5, Capacity:6.333333333333334
Nodes:75, Flows:5, Capacity:6.833333333333334
Nodes:75, Flows:5, Capacity:6.333333333333333
Nodes:75, Flows:5, Capacity:6.583333333333334
Nodes:75, Flows:5, Capacity:6.625
Nodes:75, Flows:5, Capacity:6.416666666666666
Nodes:75, Flows:5, Capacity:6.75
Nodes:75, Flows:5, Capacity:6.791666666666667
Nodes:75, Flows:5, Capacity:6.541666666666666
Nodes:75, Flows:5, Capacity:6.75
Nodes:75, Flows:5, Capacity:6.5
Nodes:75, Flows:5, Capacity:6.416666666666667
Nodes:75, Flows:5, Capacity:6.666666666666667
Nodes:85, Flows:10, Capacity:14.875
Nodes:85, Flows:10, Capacity:14.458333333333332
Nodes:85, Flows:10, Capacity:15.458333333333332
Nodes:85, Flows:10, Capacity:14.666666666666666
Nodes:85, Flows:10, Capacity:14.375
Nodes:85, Flows:10, Capacity:13.75
Nodes:85, Flows:10, Capacity:13.458333333333332
Nodes:85, Flows:10, Capacity:14.125
Nodes:85, Flows:10, Capacity:12.958333333333332
Nodes:85, Flows:10, Capacity:14.333333333333332
Nodes:85, Flows:10, Capacity:13.166666666666668
Nodes:85, Flows:10, Capacity:13.625
Nodes:85, Flows:10, Capacity:13.833333333333332
Nodes:85, Flows:10, Capacity:14.708333333333334
Nodes:85, Flows:10, Capacity:14.916666666666666
Nodes:85, Flows:10, Capacity:12.333333333333332
Nodes:85, Flows:10, Capacity:14.5
Nodes:85, Flows:10, Capacity:14.375
Nodes:85, Flows:10, Capacity:15.25
Nodes:85, Flows:10, Capacity:14.208333333333334
Nodes:85, Flows:10, Capacity:14.625
Nodes:85, Flows:10, Capacity:14.874999999999998
Nodes:85, Flows:10, Capacity:14.333333333333332
Nodes:85, Flows:10, Capacity:13.375
Nodes:85, Flows:10, Capacity:14.833333333333334
Nodes:85, Flows:10, Capacity:14.583333333333334
Nodes:85, Flows:10, Capacity:13.625
Nodes:85, Flows:10, Capacity:14.5
Nodes:85, Flows:10, Capacity:14.875
Nodes:85, Flows:10, Capacity:13.958333333333334
Nodes:85, Flows:10, Capacity:14.791666666666668
Nodes:85, Flows:10, Capacity:14.5
Nodes:85, Flows:10, Capacity:14.125
Nodes:85, Flows:10, Capacity:14.25
Nodes:85, Flows:10, Capacity:14.375
Nodes:85, Flows:10, Capacity:14.791666666666668
Nodes:85, Flows:10, Capacity:15.125
Nodes:85, Flows:10, Capacity:14.916666666666668
Nodes:85, Flows:10, Capacity:14.958333333333332
Nodes:85, Flows:10, Capacity:14.666666666666668
Nodes:85, Flows:10, Capacity:14.916666666666668
Nodes:85, Flows:10, Capacity:14.75
Nodes:85, Flows:10, Capacity:14.25
Nodes:85, Flows:10, Capacity:15.25
Nodes:85, Flows:10, Capacity:14.75
Nodes:95, Flows:15, Capacity:14.416666666666666
Nodes:95, Flows:15, Capacity:12.041666666666668
Nodes:95, Flows:15, Capacity:9.0
Nodes:95, Flows:15, Capacity:8.916666666666668
Nodes:95, Flows:15, Capacity:12.5
